\'em            ax m sp
groundhog       g r aw n d hh ao g sp
group           g r uw p sp
groups          g r uw p s sp
grow            g r ow sp
growing         g r ow ix ng sp
grown           g r ow n sp
grows           g r ow z sp
grudgingly      g r ah jh ix ng l iy sp
grunt           g r ah n t sp
guaranteed      g ae r ax n t iy d sp
guarantees      g ae r ax n t iy z sp
guard           g aa r d sp
guerrilla       g er ih l ax sp
guerrillas      g er ih l ax z sp
guess           g eh s sp
guidance        g ay d en s sp
guide           g ay d sp
guidebook       g ay d b uh k sp
guides          g ay d z sp
guilt           g ih l t sp
guilty          g ih l t iy sp
gum             g ah m sp
gums            g ah m z sp
gun             g ah n sp
gunman          g ah n m ix n sp
gunpowder       g ah n p aw d axr sp
gurgle          g er g el sp
gus             g ah s sp
gushed          g ah sh t sp
guttural        g ah t axr el sp
guy             g ay sp
guys            g ay z sp
gwen            g w eh n sp
gyro            jh ay r ow sp
gyrocompass     jh ay r ow k ah m p ax s sp
ha              hh aa sp
habit           hh ae b ix t sp
had             hh ae d sp
hafta           hh ae f t ax sp
hails           hh ey l z sp
hair            hh ae r sp
haired          hh ae r d sp
half            hh ae f sp
halloween       hh ae l ow iy n sp
hallway         hh ao l w ey sp
ham             hh ae m sp
hand            hh ae n d sp
handbag         hh ae n d b ae g sp
handed          hh ae n d ix d sp
handful         hh ae n d f uh l sp
handle          hh ae n d el sp
handling        hh ae n d el ix ng sp
hands           hh ae n d z sp
handsome        hh ae n s ax m sp
handyman        hh ae n d iy m ae n sp
hanging         hh ae ng ix ng sp
hangovers       hh ae ng ow v axr z sp
happen          hh ae p ax n sp
happened        hh ae p ax n d sp
happily         hh ae p ax l iy sp
happy           hh ae p iy sp
hard            hh aa r d sp
hardly          hh aa r d l iy sp
hardy           hh aa r d iy sp
harmlessly      hh aa r m l ax s l iy sp
harmony         hh aa r m ax n iy sp
harms           hh aa r m z sp
harsh           hh aa r sh sp
has             hh ae z sp
hastily         hh ey s t ax l iy sp
hat             hh ae t sp
hate            hh ey t sp
hatred          hh ey t r ix d sp
haughty         hh ao t iy sp
hauling         hh ao l ix ng sp
haunted         hh ao n t ix d sp
have            hh ae v sp
haven't         hh ae v en t sp
having          hh ae v ix ng sp
hawing          hh ao ix ng sp
hay             hh ey sp
hazards         hh ae z axr d z sp
haze            hh ey z sp
he              hh iy sp
he'd            hh iy d sp
he'll           hh ih l sp
he's            hh iy z sp
head            hh eh d sp
headache        hh eh d ey k sp
headaches       hh eh d ey k s sp
heading         hh eh d ix ng sp
headquarters    hh eh d k w ao t axr z sp
heads           hh eh d z sp
healing         hh iy l ix ng sp
health          hh eh l th sp
healthful       hh eh l th f uh l sp
healthy         hh eh l th iy sp
heap            hh iy p sp
hear            hh ih r sp
heard           hh er d sp
heart           hh aa r t sp
heartily        hh aa r t ax l iy sp
heat            hh iy t sp
heat's          hh iy t s sp
heaven          hh eh v ax n sp
heavier         hh eh v iy axr sp
heavy           hh eh v iy sp
heels           hh iy l z sp
heights         hh ay t s sp
helium          hh iy l iy ax m sp
hell            hh eh l sp
hello           hh eh l ow sp
help            hh eh l p sp
helpful         hh eh l p f uh l sp
helping         hh eh l p ix ng sp
helpless        hh eh l p l ax s sp
helps           hh eh l p s sp
hemorrhage      hh eh m axr ih jh sp
hen             hh eh n sp
hepatitis       hh eh p ax t ay t ix s sp
her             hh er sp
herb's          hh er b z sp
herd            hh er d sp
herdin'         hh er d en sp
here            hh ih r sp
heritage        hh eh r ax t ih jh sp
heroic          hh ih r ow ih k sp
heroism         hh eh r ow ih z em sp
herself         hh axr s eh l f sp
hesitate        hh eh z ix t ey t sp
hey             hh ey sp
hibachi         hh ih b aa ch iy sp
hide            hh ay d sp
hides           hh ay d z sp
hiding          hh ay d ix ng sp
high            hh ay sp
higher          hh ay axr sp
highest         hh ay ix s t sp
highly          hh ay l iy sp
hiking          hh ay k ix ng sp
hills           hh ih l z sp
him             hh ih m sp
himself         hh ih m s eh l f sp
hindu           hh ih n d uw sp
hint            hh ih n t sp
hire            hh ay axr sp
hired           hh ay axr d sp
hires           hh ay axr z sp
hiring          hh ay axr ix ng sp
his             hh ih z sp
hispanic        hh ih s p ae n ih k sp
historical      hh ih s t ao r ix k el sp
historically    hh ih s t ao r ix k l iy sp
history         hh ih s t axr iy sp
hit             hh ih t sp
hoarse          hh ao r s sp
hold            hh ow l d sp
holder          hh ow l d axr sp
holding         hh ow l d ix ng sp
holds           hh ow l d z sp
hole            hh ow l sp
holes           hh ow l z sp
holiday         hh aa l ix d ey sp
home            hh ow m sp
homes           hh ow m z sp
homogeneous     hh ow m ax jh iy n iy ax s sp
honest          aa n ix s t sp
honesty         aa n ih s t iy sp
honey           hh ah n iy sp
honeybees       hh ah n iy b iy z sp
honor           aa n axr sp
hood            hh uh d sp
hoofs           hh uh f s sp
hooking         hh uh k ix ng sp
hope            hh ow p sp
hoped           hh ow p t sp
hopeful         hh ow p f uh l sp
horizon         hh axr ay z en sp
horror          hh ao r axr sp
horse           hh ao r s sp
horseback       hh ao r s b ae k sp
horseplay       hh ao r s p l ey sp
hospitalization hh aa s p ih t el ax z ey sh ix n sp
host            hh ow s t sp
hot             hh aa t sp
hotel           hh ow t eh l sp
hotels          hh ow t eh l z sp
hour            aw r sp
hours           aw r z sp
house           hh aw s sp
household       hh aw s hh ow l d sp
householder     hh aw s hh ow l d axr sp
houses          hh aw s ix z sp
housewives      hh aw s w ay v z sp
housework       hh aw s w er k sp
how             hh aw sp
how's           hh aw z sp
however         hh aw eh v axr sp
huge            hh y uw jh sp
hugging         hh ah g ix ng sp
hull            hh ah l sp
hum             hh ah m sp
human           hh y uw m ax n sp
humanism        hh y uw m ax n ih z em sp
humid           hh y uw m ix d sp
humidity        hh y uw m ih d ix t iy sp
humor           hh y uw m axr sp
humorous        hh y uw m axr ax s sp
hundred         hh ah n d r ax d sp
hung            hh ah ng sp
hungarian       hh ah ng g eh r iy ax n sp
hunter          hh ah n t axr sp
hurriedly       hh er ix d l iy sp
hurry           hh er iy sp
hurt            hh er t sp
husband         hh ah z b ax n d sp
husband's       hh ah z b ax n d z sp
hut             hh ah t sp
hyacinths       hh ay ax s ih n th s sp
hyena           hh ay iy n ax sp
hyenas          hh ay iy n ix z sp
hypocrites      hh ih p ax k r ih t s sp
hypothalamic    hh ay p ow th ax l ae m ih k sp
hypothetical    hh ay p ax th eh t ih k el sp
hysterical      hh ih s t eh r ix k el sp
i               ay sp
i'll            ay l sp
i'm             ay m sp
i've            ay v sp
ice             ay s sp
ices            ay s ix z sp
icicles         ay s ih k el z sp
icy             ay s iy sp
idea            ay d iy ax sp
ideal           ay d iy l sp
ideally         ay d iy l iy sp
ideas           ay d iy ax z sp
identical       ay d eh n t ih k el sp
identify        ay d eh n t ix f ay sp
ideological     ay d iy ax l aa jh ih k el sp
ideology        ay d iy aa l ax jh iy sp
idiotic         ih d iy aa t ih k sp
idiotically     ih d iy aa t ix k l iy sp
idolize         ay d ax l ay z sp
if              ih f sp
ignore          ih g n ao r sp
ignored         ih g n ao r d sp
ignores         ih g n ao r z sp
ill             ih l sp
illegal         ih l iy g el sp
illegally       ih l iy g el iy sp
illuminated     ih l uw m ix n ey t ix d sp
illuminating    ih l uw m ix n ey t ix ng sp
illumined       ih l uw m ih n d sp
image           ih m ih jh sp
images          ih m ih jh ix z sp
imagination     ih m ae jh ix n ey sh ix n sp
imagine         ih m ae jh ix n sp
imagined        ih m ae jh ix n d sp
immaterial      ih m ax t ih r iy el sp
immediate       ih m iy d iy ax t sp
immediately     ih m iy d iy ax t l iy sp
immortal        ih m ao r t el sp
impact          ih m p ae k t sp
imperfect       ih m p er f ih k t sp
impersonal      ih m p er s en el sp
implausibly     ih m p l ao z ax b l iy sp
implications    ih m p l ax k ey sh ix n z sp
implied         ih m p l ay d sp
import          ih m p ao r t sp
importance      ih m p ao r t en s sp
important       ih m p ao r t ax n t sp
imports         ih m p ao r t s sp
impossible      ih m p aa s ix b el sp
impressions     ih m p r eh sh ix n z sp
improved        ih m p r uw v d sp
in              ih n sp
inadequate      ih n ae d ih k w ax t sp
inadvisable     ih n ax d v ay z ax b el sp
inanimate       ih n ae n ax m ax t sp
inarticulate    ih n aa r t ih k y uh l ix t sp
inaugural       ih n ao g y axr el sp
inch            ih n ch sp
included        ih n k l uw d ix d sp
including       ih n k l uw d ix ng sp
inclusions      ih n k l uw zh ix n z sp
income          ih n k ah m sp
incomplete      ih n k ax m p l iy t sp
increase        ih n k r iy s sp
increased       ih n k r iy s t sp
increases       ih n k r iy s ix z sp
increasing      ih n k r iy s ix ng sp
indeed          ih n d iy d sp
indefinable     ih n d ih f ay n ax b el sp
indefinite      ih n d eh f ax n ix t sp
indemnity       ih n d eh m n ix t iy sp
independent     ih n d ax p eh n d ix n t sp
index           ih n d eh k s sp
indicate        ih n d ix k ey t sp
indicated       ih n d ix k ey t ix d sp
indispensable   ih n d ih s p eh n s ax b el sp
individual      ih n d ax v ih jh uw el sp
individuals     ih n d ax v ih jh uw el z sp
industry        ih n d ah s t r iy sp
ineffective     ih n ax f eh k t ih v sp
inertia         ih n er sh ax sp
inevitable      ih n eh v ax t ax b el sp
inexcusable     ih n ih k s k y uw z ax b el sp
infection       ih n f eh k sh ix n sp
infectious      ih n f eh k sh uw ax s sp
inferences      ih n f axr ax n s ix z sp
inferiority     ih n f ih r iy ao r ax t iy sp
infidels        ih n f ix d el z sp
infiltration    ih n f ih l t r ey sh ix n sp
inflammatory    ih n f l ae m ax t ao r iy sp
inflated        ih n f l ey t ix d sp
influences      ih n f l uw ax n s ix z sp
information     ih n f axr m ey sh ix n sp
informative     ih n f ao r m ax t ih v sp
infrequent      ih n f r iy k w ax n t sp
infuriation     ih n f y uh r iy ey sh ix n sp
ingenuity       ih n jh ix n uw ix t iy sp
ingredient      ih n g r iy d iy ax n t sp
ingredients     ih n g r iy d iy ax n t s sp
inhabit         ih n hh ae b ax t sp
inherited       ih n hh eh r ax t ix d sp
inhibitor       ih n hh ih b ix t axr sp
inhuman         ih n hh y uw m ax n sp
initiative      ih n ih sh ix t ih v sp
injected        ih n jh eh k t ix d sp
injection       ih n jh eh k sh ix n sp
injuries        ih n jh axr iy z sp
innocence       ih n ix s ix n s sp
inquired        ih n k w ay axr d sp
inquiry         ih n k w ay axr iy sp
insecticide     ih n s eh k t ix s ay d sp
insecticides    ih n s eh k t ix s ay d z sp
insert          ih n s er t sp
inside          ih n s ay d sp
insist          ih n s ih s t sp
instability     ih n s t ax b ih l ix t iy sp
installations   ih n s t ax l ey sh ix n z sp
installed       ih n s t ao l d sp
instance        ih n s t ax n s sp
instantaneous   ih n s t ax n t ey n iy ax s sp
instead         ih n s t eh d sp
instructions    ih n s t r ah k sh ix n z sp
instruments     ih n s t r ax m ax n t s sp
insufficient    ih n s ax f ih sh ix n t sp
insulate        ih n s ax l ey t sp
insurance       ih n sh uh r ax n s sp
integration     ih n t ix g r ey sh ix n sp
integrity       ih n t eh g r ax t iy sp
intelligence    ih n t eh l ix jh ix n s sp
intelligent     ih n t eh l ix jh ix n t sp
intelligible    ih n t eh l ax jh ix b el sp
intent          ih n t eh n t sp
interchangeably ih n t axr ch ey n jh ax b l iy sp
interest        ih n t r ax s t sp
interested      ih n t r ax s t ix d sp
interesting     ih n t r ax s t ix ng sp
interior        ih n t ih r iy axr sp
internal        ih n t er n el sp
interpretation  ih n t er p r ax t ey sh ix n sp
interpretations ih n t er p r ax t ey sh ix n z sp
intervals       ih n t axr v el z sp
interview       ih n t axr v y uw sp
interviewee     ih n t axr v y uw iy sp
interweaving    ih n t axr w iy v ix ng sp
intimate        ih n t ax m ax t sp
into            ih n t uw sp
intrusions      ih n t r uw zh ix n z sp
intuition       ih n t uw ih sh ix n sp
invaluable      ih n v ae l y uh b el sp
invariably      ih n v ae r iy ax b l iy sp
inventories     ih n v ax n t ao r iy z sp
invest          ih n v eh s t sp
invitation      ih n v ix t ey sh ix n sp
involved        ih n v aa l v d sp
involves        ih n v aa l v z sp
involving       ih n v aa l v ix ng sp
inward          ih n w axr d sp
inwardly        ih n w axr d l iy sp
irate           ay r ey t sp
iris            ay r ix s sp
irish           ay r ih sh sp
iron            ay axr n sp
ironically      ay r aa n ih k l iy sp
ironing         ay axr n ix ng sp
irons           ay axr n z sp
irremediable    ih r ih m iy d iy ax b el sp
irritated       ih r ax t ey t ix d sp
irving's        er v ix ng z sp
is              ih z sp
isn't           ih z en t sp
isotopes        ay s ax t ow p s sp
issued          ih sh uw d sp
issues          ih sh uw z sp
it              ih t sp
it'd            ih t uh d sp
it's            ih t s sp
itching         ih ch ix ng sp
itemize         ay t ax m ay z sp
items           ay t em z sp
its             ih t s sp
itself          ih t s eh l f sp
jabbed          jh ae b d sp
jacket          jh ae k ix t sp
jagged          jh ae g ix d sp
jaguars         jh ae g w aa r z sp
jam             jh ae m sp
jar             jh aa r sp
jaw             jh ao sp
jealousies      jh eh l ax s iy z sp
jealousy        jh eh l ax s iy sp
jeep            jh iy p sp
jeff's          jh eh f s sp
jeopardize      jh eh p axr d ay z sp
jerk            jh er k sp
jerky           jh er k iy sp
jim             jh ih m sp
jim's           jh ih m z sp
job             jh aa b sp
jocular         jh aa k y uh l axr sp
john's          jh aa n z sp
join            jh oy n sp
joint           jh oy n t sp
jokers          jh ow k axr z sp
jokes           jh ow k s sp
joking          jh ow k ix ng sp
journalese      jh er n ax l iy z sp
journalist      jh er n el ix s t sp
joyce           jh oy s sp
judge           jh ah jh sp
judged          jh ah jh d sp
juice           jh uw s sp
juicy           jh uw s iy sp
jump            jh ah m p sp
jumped          jh ah m p t sp
jungle          jh ah ng g el sp
junior          jh uw n y axr sp
just            jh ah s t sp
justification   jh ah s t ix f ax k ey sh ix n sp
kayak           k ay ae k sp
kayo            k ey ow sp
keelson         k iy l s ah n sp
keep            k iy p sp
kept            k eh p t sp
kerosene        k eh r ix s iy n sp
key             k iy sp
keyed           k iy d sp
kick            k ih k sp
kid             k ih d sp
kid's           k ih d z sp
kids            k ih d z sp
kill            k ih l sp
killed          k ih l d sp
kin             k ih n sp
kind            k ay n d sp
kinda           k ay n d ax sp
kindly          k ay n d l iy sp
kippers         k ih p axr z sp
kissed          k ih s t sp
kitchen         k ih ch ix n sp
knacks          n ae k s sp
knee            n iy sp
kneeling        n iy l ix ng sp
knees           n iy z sp
knew            n uw sp
knick           n ih k sp
knife           n ay f sp
knifelike       n ay f l ay k sp
knit            n ih t sp
knives          n ay v z sp
knocked         n aa k t sp
know            n ow sp
knowed          n ow d sp
knowing         n ow ix ng sp
known           n ow n sp
knows           n ow z sp
labeled         l ey b el d sp
labor           l ey b axr sp
laboratory      l ae b r ix t ao r iy sp
lacerate        l ae s axr ey t sp
lack            l ae k sp
lackeys         l ae k iy z sp
lactating       l ae k t ey t ix ng sp
ladder          l ae d axr sp
lady's          l ey d iy z sp
lagoon          l ax g uw n sp
laid            l ey d sp
lamb's          l ae m z sp
lamps           l ae m p s sp
land            l ae n d sp
landlord        l ae n d l ao r d sp
landmarks       l ae n d m aa r k s sp
language        l ae ng g w ih jh sp
large           l aa r jh sp
largely         l aa r jh l iy sp
larger          l aa r jh axr sp
larvae          l aa r v iy sp
lashings        l ae sh ix ng z sp
last            l ae s t sp
latches         l ae ch ix z sp
late            l ey t sp
later           l ey t axr sp
latest          l ey t ix s t sp
lathe           l ey dh sp
latitudes       l ae t ix t uw d z sp
laughed         l ae f t sp
law             l ao sp
lawful          l ao f uh l sp
laws            l ao z sp
lawyer          l ao y axr sp
lay             l ey sp
layoffs         l ey ao f s sp
lazy            l ey z iy sp
leading         l iy d ix ng sp
leaf            l iy f sp
leaflet         l iy f l ix t sp
leagues         l iy g z sp
learn           l er n sp
learned         l er n d sp
least           l iy s t sp
leather         l eh dh axr sp
leave           l iy v sp
leaves          l iy v z sp
leavings        l iy v ix ng z sp
led             l eh d sp
left            l eh f t sp
leg             l eh g sp
legal           l iy g el sp
legend          l eh jh ix n d sp
legislation     l eh jh ix s l ey sh ix n sp
legislative     l eh jh ix s l ey t ih v sp
legislature     l eh jh ih s l ey ch er sp
legs            l eh g z sp
lemon           l eh m ax n sp
length          l eh ng th sp
lengthy         l eh ng th iy sp
leopards        l eh p axr d z sp
less            l eh s sp
lesson          l eh s en sp
lessons         l eh s en z sp
let             l eh t sp
let's           l eh t s sp
letter          l eh t axr sp
letters         l eh t axr z sp
level           l eh v el sp
leveling        l eh v el ix ng sp
levels          l eh v el z sp
lewd            l uw d sp
liberals        l ih b er el z sp
library         l ay b r eh r iy sp
lids            l ih d z sp
lie             l ay sp
life            l ay f sp
lifeboats       l ay f b ow t s sp
lifelong        l ay f l ao ng sp
lift            l ih f t sp
lifting         l ih f t ix ng sp
ligament        l ih g ax m ax n t sp
light           l ay t sp
lightbulbs      l ay t b ah l b z sp
lighted         l ay t ix d sp
lighter         l ay t axr sp
lightly         l ay t l iy sp
like            l ay k sp
liked           l ay k t sp
likes           l ay k s sp
likewise        l ay k w ay z sp
limit           l ih m ix t sp
limited         l ih m ax t ix d sp
lincoln         l ih ng k ax n sp
line            l ay n sp
lined           l ay n d sp
lines           l ay n z sp
lion            l ay ix n sp
lip             l ih p sp
lips            l ih p s sp
liquid          l ih k w ix d sp
liquids         l ih k w ix d z sp
liquor          l ih k axr sp
list            l ih s t sp
listed          l ih s t ix d sp
lists           l ih s t s sp
literally       l ih t axr ax l iy sp
literature      l ih t axr ax ch uh r sp
lithographs     l ih th ax g r ae f s sp
little          l ih t el sp
live            l ay v sp
live            l ih v sp
lively          l ay v l iy sp
lives           l ih v z sp
livestock       l ay v s t aa k sp
living          l ih v ix ng sp
loads           l ow d z sp
lobes           l ow b z sp
local           l ow k el sp
locate          l ow k ey t sp
lock            l aa k sp
locked          l aa k t sp
lodge           l aa jh sp
logical         l aa jh ih k el sp
logically       l aa jh ih k l iy sp
logs            l ao g z sp
lone            l ow n sp
loneliness      l ow n l iy n ix s sp
long            l ao ng sp
longed          l ao ng d sp
longer          l ao ng g axr sp
longitudes      l aa n jh ix t uw d z sp
look            l uh k sp
looked          l uh k t sp
looking         l uh k ix ng sp
looks           l uh k s sp
loose           l uw s sp
lose            l uw z sp
loss            l ao s sp
losses          l ao s ix z sp
lost            l ao s t sp
lot             l aa t sp
lotions         l ow sh ix n z sp
lots            l aa t s sp
loudly          l aw d l iy sp
louse           l aw s sp
lousiness       l aw z iy n ix s sp
love            l ah v sp
loved           l ah v d sp
lovely          l ah v l iy sp
low             l ow sp
lower           l ow axr sp
lowered         l ow axr d sp
loyal           l oy el sp
loyalties       l oy el t iy z sp
luck            l ah k sp
lucky           l ah k iy sp
lullaby         l ah l ix b ay sp
lumber          l ah m b axr sp
lungs           l ah ng z sp
luxury          l ah k sh axr iy sp
lying           l ay ix ng sp
ma'am           m ae m sp
machine         m ax sh iy n sp
machinery       m ax sh iy n axr iy sp
machines        m ax sh iy n z sp
mad             m ae d sp
made            m ey d sp
madstones       m ae d s t ow n z sp
magnified       m ae g n ih f ay d sp
magpies         m ae g p ay z sp
mahogany        m ax hh aa g ix n iy sp
maids'          m ey d z sp
mail            m ey l sp
main            m ey n sp
maintenance     m ey n t ix n ix n s sp
major           m ey jh axr sp
majority        m ax jh ao r ix t iy sp
make            m ey k sp
makes           m ey k s sp
making          m ey k ix ng sp
maladies        m ae l ax d iy z sp
malaria         m ax l ae r iy ax sp
male            m ey l sp
mammals         m ae m el z sp
man             m ae n sp
man's           m ae n z sp
manage          m ae n ih jh sp
managed         m ae n ih jh d sp
management      m ae n ih jh m ax n t sp
mandates        m ae n d ey t s sp
mango           m ae ng g ow sp
manhood         m ae n hh uh d sp
manner          m ae n axr sp
manners         m ae n axr z sp
manual          m ae n y uw el sp
manufacturer    m ae n y uw f ae k ch er axr sp
many            m eh n iy sp
map             m ae p sp
mare's          m ae r z sp
margaret        m aa r g r ax t sp
marine          m axr iy n sp
marine's        m axr iy n z sp
mark            m aa r k sp
marketing       m aa r k ix t ix ng sp
markets         m aa r k ix t s sp
marks           m aa r k s sp
marksmanship    m aa r k s m ax n sh ih p sp
marriage        m ae r ih jh sp
married         m ae r iy d sp
marshmallows    m aa r sh m eh l ow z sp
marvel          m aa r v el sp
mask            m ae s k sp
masquerade      m ae s k axr ey d sp
mass            m ae s sp
massage         m ax s aa zh sp
massive         m ae s ih v sp
master          m ae s t axr sp
master's        m ae s t axr z sp
masterful       m ae s t axr f uh l sp
matching        m ae ch ix ng sp
mate            m ey t sp
material        m ax t ih r iy el sp
materials       m ax t ih r iy el z sp
mates           m ey t s sp
mathews         m ae th y uw z sp
matter          m ae t axr sp
matters         m ae t axr z sp
mattresses      m ae t r ix s ix z sp
maturity        m ax ch uh r ih t iy sp
maximal         m ae k s ax m el sp
maximum         m ae k s ix m ax m sp
may             m ey sp
mayan           m ay ax n sp
maybe           m ey b iy sp
mayonnaise      m ey ax n ey z sp
me              m iy sp
meadow          m eh d ow sp
meals           m iy l z sp
mealynosed      m iy l iy n ow z d sp
mean            m iy n sp
meaningful      m iy n ix ng f uh l sp
means           m iy n z sp
meant           m eh n t sp
meanwhile       m iy n hh w ay l sp
measure         m eh zh axr sp
measured        m eh zh axr d sp
measurement     m eh zh axr m ax n t sp
meat            m iy t sp
mechanic        m ih k ae n ih k sp
mechanical      m ih k ae n ih k el sp
mechanism       m eh k ax n ih z em sp
media           m iy d iy ax sp
median          m iy d iy ax n sp
medicine        m eh d ix s ih n sp
mediocrity      m iy d iy aa k r ih t iy sp
meet            m iy t sp
meeting         m iy t ix ng sp
meetings        m iy t ix ng z sp
melancholy      m eh l ix n k aa l iy sp
melody          m eh l ax d iy sp
melted          m eh l t ix d sp
member          m eh m b axr sp
members         m eh m b axr z sp
membership      m eh m b axr sh ih p sp
memory          m eh m axr iy sp
men             m eh n sp
mental          m eh n t el sp
mercenary       m er s en eh r iy sp
mercilessly     m er s el eh s l iy sp
mere            m ih r sp
merely          m ih r l iy sp
merger          m er jh axr sp
merit           m eh r ix t sp
merrily         m eh r ix l iy sp
mess            m eh s sp
message         m eh s ih jh sp
messy           m eh s iy sp
met             m eh t sp
metallic        m ax t ae l ih k sp
methods         m eh th ax d z sp
mettle          m eh t el sp
micrometeorite  m ay k r ow m iy t iy axr ay t sp
micrometeorites m ay k r ow m iy t iy axr ay t s sp
microorganisms  m ay k r ow ao r g ix n ih z em z sp
microscopically m ay k r ix s k aa p ih k l iy sp
midair          m ih d ae r sp
midnight        m ih d n ay t sp
might           m ay t sp
mighty          m ay t iy sp
mike            m ay k sp
mile            m ay l sp
miles           m ay l z sp
military        m ih l ix t eh r iy sp
milk            m ih l k sp
mind            m ay n d sp
minded          m ay n d ix d sp
minds           m ay n d z sp
mine            m ay n sp
minor           m ay n axr sp
minority        m ay n ao r ax t iy sp
minute          m ih n ix t sp
minutes         m ih n ix t s sp
miraculous      m axr ae k y uh l ax s sp
mirror          m ih r axr sp
miserable       m ih z axr ax b el sp
misery          m ih z axr iy sp
mishap          m ih s hh ae p sp
misinterpret    m ih s en t er p r ax t sp
misleading      m ih s l iy d ix ng sp
misperceives    m ih s p er s iy v z sp
misplaced       m ih s p l ey s t sp
misprint        m ih s p r ih n t sp
miss            m ih s sp
mistaken        m ih s t ey k ix n sp
mixed           m ih k s t sp
mixing          m ih k s ix ng sp
modeled         m aa d el d sp
modeling        m aa d el ix ng sp
models          m aa d el z sp
modern          m aa d axr n sp
modernization   m aa d axr n ix z ey sh ix n sp
modest          m aa d ix s t sp
modesty         m aa d ix s t iy sp
modified        m aa d ix f ay d sp
modular         m aa jh uh l axr sp
moist           m oy s t sp
moistened       m oy s en d sp
moisture        m oy s ch axr sp
mold            m ow l d sp
molded          m ow l d ix d sp
mollusks        m aa l ah s k s sp
mom             m aa m sp
moment          m ow m ax n t sp
momentary       m ow m ax n t eh r iy sp
momma           m aa m ax sp
monday          m ah n d ey sp
money           m ah n iy sp
monitored       m aa n ix t axr d sp
monkey          m ah ng k iy sp
monopolize      m ax n aa p ax l ay z sp
monstrous       m aa n s t r ax s sp
month           m ah n th sp
months          m ah n th s sp
moon            m uw n sp
moonlight       m uw n l ay t sp
mopped          m aa p t sp
moral           m ao r el sp
morale          m axr ae l sp
more            m ao r sp
morgue          m ao r g sp
morning         m ao r n ix ng sp
morphological   m ao r f ax l aa jh ih k el sp
mosquitoes      m ax s k iy t ow z sp
most            m ow s t sp
mostly          m ow s t l iy sp
motel           m ow t eh l sp
moth            m ao th sp
mother          m ah dh axr sp
mother's        m ah dh axr z sp
mothers         m ah dh axr z sp
motioning       m ow sh ix n ix ng sp
motivates       m ow t ix v ey t s sp
motor           m ow t axr sp
motorists       m ow t axr ix s t s sp
mount           m aw n t sp
mountain        m aw n t en sp
mountainside    m aw n t en s ay d sp
mournfully      m ao r n f uh l iy sp
mouse           m aw s sp
mouth           m aw th sp
move            m uw v sp
moved           m uw v d sp
movement        m uw v m ax n t sp
moves           m uw v z sp
movie           m uw v iy sp
movies          m uw v iy z sp
moving          m uw v ix ng sp
mrs             m ih s ix z sp
much            m ah ch sp
mucus           m y uw k ix s sp
muddleheaded    m ah d el hh eh d ix d sp
muddy           m ah d iy sp
mudwagon        m ah d w ae g ax n sp
muffled         m ah f el d sp
mugs            m ah g z sp
multiple        m ah l t ax p el sp
murder          m er d axr sp
murderer        m er d er axr sp
murky           m er k iy sp
murmured        m er m axr d sp
muscles         m ah s el z sp
muscular        m ah s k y uh l axr sp
museum          m y uw z iy ax m sp
music           m y uw z ih k sp
musical         m uw z ih k el sp
musicians       m y uw z ih sh ix n z sp
muskrat         m ah s k r ae t sp
must            m ah s t sp
mustard         m ah s t axr d sp
my              m ay sp
myopia          m ay ow p iy ax sp
myself          m ay s eh l f sp
mysterious      m ih s t ih r iy ax s sp
nagging         n ae g ix ng sp
nailed          n ey l d sp
nails           n ey l z sp
naive           n aa iy v sp
naked           n ey k ix d sp
name            n ey m sp
named           n ey m d sp
names           n ey m z sp
nan's           n ae n z sp
narrow          n ae r ow sp
narrower        n ae r ow axr sp
nasty           n ae s t iy sp
nathan          n ey th ix n sp
national        n ae sh ix n el sp
natural         n ae ch axr el sp
naturally       n ae ch axr ax l iy sp
nature          n ey ch axr sp
navigate        n ae v ax g ey t sp
near            n ih r sp
nearby          n ih r b ay sp
nearer          n ih r axr sp
nearing         n ih r ix ng sp
nearly          n ih r l iy sp
necessarily     n eh s ix s eh r ax l iy sp
necessary       n eh s ix s eh r iy sp
necessitates    n ih s eh s ax t ey t s sp
necessity       n ih s eh s ix t iy sp
neck            n eh k sp
necklace        n eh k l ax s sp
nectar          n eh k t axr sp
need            n iy d sp
needed          n iy d ix d sp
needle          n iy d el sp
needless        n iy d l ax s sp
needs           n iy d z sp
neglect         n ax g l eh k t sp
negligent       n eh g l ih jh ix n t sp
negligible      n eh g l ih jh ix b el sp
neither         n iy dh axr sp
neoclassic      n iy ow k l ae s ih k sp
nerves          n er v z sp
nevada          n ax v ae d ax sp
nevada's        n ax v ae d ax z sp
never           n eh v axr sp
nevertheless    n eh v axr dh ax l eh s sp
new             n uw sp
news            n uw z sp
newspaper       n uw z p ey p axr sp
next            n eh k s t sp
nice            n ay s sp
night           n ay t sp
nightmares      n ay t m ae r z sp
nine            n ay n sp
nip             n ih p sp
no              n ow sp
nobody          n ow b ah d iy sp
nobody's        n ow b ah d iy z sp
nodded          n aa d ix d sp
non             n aa n sp
none            n ah n sp
nonprofit       n aa n p r aa f ax t sp
nonsense        n aa n s eh n s sp
nonsystematic   n aa n s ih s t ax m ae t ix k sp
nor             n ao r sp
nora            n ao r ax sp
nora's          n ao r ax z sp
normal          n ao r m el sp
north           n ao r th sp
northeast       n ao r th iy s t sp
northern        n ao r dh er n sp
norwegian       n ao r w iy jh ix n sp
nose            n ow z sp
not             n aa t sp
note            n ow t sp
