"'em" ax m
SILENCE sil
a  ax
glowed  g l ow d
glue  g l uw
glued  g l uw d
gluttons  g l ah t en z
go  g ow
go-cart  g ow k aa r t
goal  g ow l
goals  g ow l z
goat  g ow t
goes  g ow z
goin'  g ow ih n
going  g ow ix ng
gold  g ow l d
golfing  g aa l f ix ng
gonna  g ah n ax
good  g uh d
good-news  g uh d n uw z
good-size  g uh d s ay z
goodness  g uh d n ix s
goodnight  g uh d n ay t
goose  g uw s
gooseberry  g uw s b eh r iy
gosh  g aa sh
got  g aa t
goulash  g uw l aa sh
govern  g ah v axr n
governing  g ah v axr n ix ng
government  g ah v axr n m ax n t
governor  g ah v axr n axr
gowns  g aw n z
grab  g r ae b
gracefully  g r ey s f ah l iy
grade  g r ey d
grade-equivalent  g r ey d ih k w ih v el ax n t
grades  g r ey d z
gradually  g r ae jh uw ax l iy
graduation  g r ae jh uw ey sh ix n
grains  g r ey n z
grandmother  g r ae n d m ah dh axr
grants  g r ae n t s
graph  g r ae f
grateful  g r ey t f el
graying  g r ey ix ng
grazing  g r ey z ix ng
greasing  g r iy s ix ng
greasy  g r iy s iy
great  g r ey t
greater  g r ey t axr
greatly  g r ey t l iy
greedily  g r iy d ax l iy
green  g r iy n
greenness  g r iy n ix s
greeted  g r iy t ix d
greg  g r eh g
gregory  g r eh g axr iy
grievance  g r iy v ax n s
grievances  g r iy v ax n s ix z
grill  g r ih l
grin  g r ih n
grinned  g r ih n d
grip  g r ih p
groin  g r oy n
groom  g r uw m
gross  g r ow s
grotesque  g r ow t eh s k
ground  g r aw n d
group  g r uw p
groups  g r uw p s
grow  g r ow
growing  g r ow ix ng
grown  g r ow n
grownups  g r ow n ah p s
grows  g r ow z
growth  g r ow th
grudgingly  g r ah jh ix ng l iy
grunt  g r ah n t
guaranteed  g ae r ax n t iy d
guarantees  g ae r ax n t iy z
guard  g aa r d
guerrilla  g er ih l ax
guerrillas  g er ih l ax z
guess  g eh s
guidance  g ay d en s
guide  g ay d
guidebook  g ay d b uh k
guides  g ay d z
guilt  g ih l t
guilty  g ih l t iy
gum  g ah m
gums  g ah m z
gun  g ah n
gunman  g ah n m ix n
gunpoint  g ah n p oy n t
gunpowder  g ah n p aw d axr
guns  g ah n z
gurgle  g er g el
gus  g ah s
gushed  g ah sh t
guttural  g ah t axr el
guy  g ay
guys  g ay z
gwen  g w eh n
gyro  jh ay r ow
gyrocompass  jh ay r ow k ah m p ax s
ha  hh aa
habit  hh ae b ix t
had  hh ae d
hafta  hh ae f t ax
haggard  hh ae g axr d
hails  hh ey l z
hair  hh ae r
haired  hh ae r d
half  hh ae f
half-city  hh ae f s ih t iy
half-inch  hh ae f ih n ch
half-man  hh ae f m ae n
halloween  hh ae l ow iy n
halves  hh ae v z
ham  hh ae m
ham-radio  hh ae m r ey d iy ow
hand  hh ae n d
handbag  hh ae n d b ae g
handed  hh ae n d ix d
handful  hh ae n d f uh l
handle  hh ae n d el
handling  hh ae n d el ix ng
hands  hh ae n d z
handsome  hh ae n s ax m
handy  hh ae n d iy
handyman  hh ae n d iy m ae n
handyman-carpenter  hh ae n d iy m ae n k aa r p ax n t axr
hanging  hh ae ng ix ng
hangovers  hh ae ng ow v axr z
happen  hh ae p ax n
happened  hh ae p ax n d
happening  hh ae p ax n ix ng
happier  hh ae p iy axr
happily  hh ae p ax l iy
happy  hh ae p iy
hard  hh aa r d
hardly  hh aa r d l iy
hardy  hh aa r d iy
harmlessly  hh aa r m l ax s l iy
harmonize  hh aa r m ax n ay z
harmony  hh aa r m ax n iy
harms  hh aa r m z
harsh  hh aa r sh
has  hh ae z
hastily  hh ey s t ax l iy
hat  hh ae t
hate  hh ey t
hated  hh ey t ix d
hatred  hh ey t r ix d
hats  hh ae t s
have  hh ae v
haven't  hh ae v en t
having  hh ae v ix ng
hay  hh ey
hazards  hh ae z axr d z
haze  hh ey z
he  hh iy
he'd  hh iy d
he'll  hh ih l
he's  hh iy z
head  hh eh d
head-in-the-clouds  hh eh d ih n dh ax k l aw d z
headache  hh eh d ey k
headaches  hh eh d ey k s
heading  hh eh d ix ng
heads  hh eh d z
healing  hh iy l ix ng
health  hh eh l th
healthful  hh eh l th f uh l
healthier  hh eh l th iy axr
healthy  hh eh l th iy
heap  hh iy p
hear  hh ih r
heard  hh er d
heart  hh aa r t
heartily  hh aa r t ax l iy
heat  hh iy t
heat's  hh iy t s
heater  hh iy t axr
heating  hh iy t ix ng
heave  hh iy v
heaven  hh eh v ax n
heavens  hh eh v ax n z
heavier  hh eh v iy axr
heavy  hh eh v iy
heck  hh eh k
heels  hh iy l z
heights  hh ay t s
held  hh eh l d
helium  hh iy l iy ax m
hell  hh eh l
hello  hh eh l ow
help  hh eh l p
helpful  hh eh l p f uh l
helping  hh eh l p ix ng
helpless  hh eh l p l ax s
helps  hh eh l p s
hem  hh eh m
hemorrhage  hh eh m axr ih jh
hen  hh eh n
henry  hh eh n r iy
hepatitis  hh eh p ax t ay t ix s
her  hh er
herb's  hh er b z
herd  hh er d
herdin'  hh er d en
here  hh ih r
here's  hh ih r z
heritage  hh eh r ax t ih jh
hero  hh ih r ow
heroes  hh ih r ow z
heroic  hh ih r ow ih k
heroism  hh eh r ow ih z em
herself  hh axr s eh l f
hesitate  hh eh z ix t ey t
hey  hh ey
hibachi  hh ih b aa ch iy
hide  hh ay d
hides  hh ay d z
hiding  hh ay d ix ng
hierarchies  hh ay axr aa r k iy z
high  hh ay
higher  hh ay axr
highest  hh ay ix s t
highly  hh ay l iy
highway  hh ay w ey
hiking  hh ay k ix ng
hills  hh ih l z
hillside  hh ih l s ay d
him  hh ih m
himself  hh ih m s eh l f
hindu  hh ih n d uw
hint  hh ih n t
hire  hh ay axr
hired  hh ay axr d
hires  hh ay axr z
hiring  hh ay axr ix ng
his  hh ih z
hispanic  hh ih s p ae n ih k
history  hh ih s t axr iy
hit  hh ih t
hold  hh ow l d
holder  hh ow l d axr
holding  hh ow l d ix ng
holds  hh ow l d z
hole  hh ow l
holes  hh ow l z
holiday  hh aa l ix d ey
holidays  hh aa l ix d ey z
home  hh ow m
home-made  hh ow m ey d
homes  hh ow m z
homogeneous  hh ow m ax jh iy n iy ax s
honest  aa n ix s t
honesty  aa n ih s t iy
honey  hh ah n iy
honeybees  hh ah n iy b iy z
honor  aa n axr
hood  hh uh d
hoofs  hh uh f s
hook  hh uh k
hooking  hh uh k ix ng
hope  hh ow p
hoped  hh ow p t
hopeful  hh ow p f uh l
hopeless  hh ow p l ax s
horizon  hh axr ay z en
hospitalization  hh aa s p ih t el ax z ey sh ix n
hospitals  hh aa s p ih t el z
host  hh ow s t
hostages  hh aa s t ih jh z
hot  hh aa t
hotel  hh ow t eh l
hotels  hh ow t eh l z
hour  aw r
hours  aw r z
house  hh aw s
household  hh aw s hh ow l d
householder  hh aw s hh ow l d axr
houses  hh aw s ix z
housewives  hh aw s w ay v z
housework  hh aw s w er k
housing  hh aw z ix ng
how  hh aw
how's  hh aw z
however  hh aw eh v axr
hub  hh ah b
huge  hh y uw jh
hugged  hh ah g d
hugging  hh ah g ix ng
hull  hh ah l
hum  hh ah m
human  hh y uw m ax n
humanism  hh y uw m ax n ih z em
humid  hh y uw m ix d
humidity  hh y uw m ih d ix t iy
humor  hh y uw m axr
humorous  hh y uw m axr ax s
hundred  hh ah n d r ax d
hung  hh ah ng
hungarian  hh ah ng g eh r iy ax n
hunter  hh ah n t axr
hurriedly  hh er ix d l iy
hurry  hh er iy
hurt  hh er t
hurts  hh er t s
husband  hh ah z b ax n d
husband's  hh ah z b ax n d z
husbandry  hh ah z b ax n d r iy
husky  hh ah s k iy
hut  hh ah t
hyacinths  hh ay ax s ih n th s
hyena  hh ay iy n ax
hyenas  hh ay iy n ix z
hypocrites  hh ih p ax k r ih t s
hypothalamic  hh ay p ow th ax l ae m ih k
hypothetical  hh ay p ax th eh t ih k el
hysterical  hh ih s t eh r ix k el
i  ay
i'd  ay d
i'll  ay l
i'm  ay m
i've  ay v
ice  ay s
ices  ay s ix z
icicles  ay s ih k el z
icy  ay s iy
idea  ay d iy ax
ideal  ay d iy l
ideally  ay d iy l iy
ideas  ay d iy ax z
identical  ay d eh n t ih k el
identifiable  ay d eh n t ix f ay ax b el
identified  ay d eh n t ix f ay
identify  ay d eh n t ix f ay
ideological  ay d iy ax l aa jh ih k el
ideology  ay d iy aa l ax jh iy
idiosyncrasies  ih d iy ix s ih ng k r ix s iy z
idiotic  ih d iy aa t ih k
idiotically  ih d iy aa t ix k l iy
idly  ay d l iy
idolize  ay d ax l ay z
if  ih f
iguanas  ih g w aa n ix z
ill  ih l
illegal  ih l iy g el
illegally  ih l iy g el iy
illness  ih l n ix s
illnesses  ih l n ix s ix z
illuminated  ih l uw m ix n ey t ix d
illuminating  ih l uw m ix n ey t ix ng
illumined  ih l uw m ih n d
illusions  ih l uw zh ix n z
image  ih m ih jh
images  ih m ih jh ix z
imagination  ih m ae jh ix n ey sh ix n
imagine  ih m ae jh ix n
imagined  ih m ae jh ix n d
imitate  ih m ax t ey t
immaterial  ih m ax t ih r iy el
immediate  ih m iy d iy ax t
immediately  ih m iy d iy ax t l iy
impact  ih m p ae k t
imperfect  ih m p er f ih k t
impersonal  ih m p er s en el
implications  ih m p l ax k ey sh ix n z
implied  ih m p l ay d
imposes  ih m p ow z ix z
impossible  ih m p aa s ix b el
impressions  ih m p r eh sh ix n z
improved  ih m p r uw v d
improving  ih m p r uw v ix ng
impulses  ih m p ah l s ix z
in  ih n
inadequate  ih n ae d ih k w ax t
inadvisable  ih n ax d v ay z ax b el
inanimate  ih n ae n ax m ax t
inarticulate  ih n aa r t ih k y uh l ix t
inch  ih n ch
include  ih n k l uw d
included  ih n k l uw d ix d
including  ih n k l uw d ix ng
inclusions  ih n k l uw zh ix n z
income  ih n k ah m
incomplete  ih n k ax m p l iy t
increase  ih n k r iy s
increased  ih n k r iy s t
increases  ih n k r iy s ix z
increasing  ih n k r iy s ix ng
indeed  ih n d iy d
indefinable  ih n d ih f ay n ax b el
indefinite  ih n d eh f ax n ix t
indemnity  ih n d eh m n ix t iy
independent  ih n d ax p eh n d ix n t
index  ih n d eh k s
indicate  ih n d ix k ey t
indicated  ih n d ix k ey t ix d
indicates  ih n d ix k ey t s
indispensable  ih n d ih s p eh n s ax b el
individual  ih n d ax v ih jh uw el
individuals  ih n d ax v ih jh uw el z
indulge  ih n d ah l jh
industry  ih n d ah s t r iy
ineffective  ih n ax f eh k t ih v
inertia  ih n er sh ax
inevitable  ih n eh v ax t ax b el
inexact  ih n ih g z ae k t
inexcusable  ih n ih k s k y uw z ax b el
infancy  ih n f ax n s iy
infection  ih n f eh k sh ix n
infectious  ih n f eh k sh uw ax s
infective  ih n f eh k t ih v
inferences  ih n f axr ax n s ix z
infidels  ih n f ix d el z
infield  ih n f iy l d
infiltration  ih n f ih l t r ey sh ix n
inflated  ih n f l ey t ix d
influences  ih n f l uw ax n s ix z
information  ih n f axr m ey sh ix n
infrequent  ih n f r iy k w ax n t
infuriation  ih n f y uh r iy ey sh ix n
ingenuity  ih n jh ix n uw ix t iy
ingredient  ih n g r iy d iy ax n t
ingredients  ih n g r iy d iy ax n t s
inhabit  ih n hh ae b ax t
inherited  ih n hh eh r ax t ix d
inhibit  ih n hh ih b ax t
inhibitor  ih n hh ih b ix t axr
inhuman  ih n hh y uw m ax n
initiative  ih n ih sh ix t ih v
injected  ih n jh eh k t ix d
injection  ih n jh eh k sh ix n
injection-molded  ih n jh eh k sh ix n m ow l d ix d
injuries  ih n jh axr iy z
innocence  ih n ix s ix n s
inquired  ih n k w ay axr d
inquiry  ih n k w ay axr iy
insecticide  ih n s eh k t ix s ay d
insecticides  ih n s eh k t ix s ay d z
insert  ih n s er t
inside  ih n s ay d
insist  ih n s ih s t
inspiring  ih n s p ay er ix ng
instability  ih n s t ax b ih l ix t iy
installations  ih n s t ax l ey sh ix n z
instance  ih n s t ax n s
instant  ih n s t ax n t
instantaneous  ih n s t ax n t ey n iy ax s
instead  ih n s t eh d
instinct  ih n s t ih ng t
instructions  ih n s t r ah k sh ix n z
instrument  ih n s t r ax m ax n t
instruments  ih n s t r ax m ax n t s
insufficient  ih n s ax f ih sh ix n t
insulate  ih n s ax l ey t
insulator  ih n s ax l ey t axr
insurance  ih n sh uh r ax n s
integrated  ih n t ix g r ey t ix d
integration  ih n t ix g r ey sh ix n
integrity  ih n t eh g r ax t iy
intelligence  ih n t eh l ix jh ix n s
intelligent  ih n t eh l ix jh ix n t
intelligible  ih n t eh l ax jh ix b el
intent  ih n t eh n t
interchangeably  ih n t axr ch ey n jh ax b l iy
interest  ih n t r ax s t
interested  ih n t r ax s t ix d
interesting  ih n t r ax s t ix ng
interior  ih n t ih r iy axr
internal  ih n t er n el
interpretation  ih n t er p r ax t ey sh ix n
interpretations  ih n t er p r ax t ey sh ix n z
intervals  ih n t axr v el z
interview  ih n t axr v y uw
interviewee  ih n t axr v y uw iy
interweaving  ih n t axr w iy v ix ng
intimate  ih n t ax m ax t
into  ih n t uw
introduced  ih n t r ax d uw s t
intrusions  ih n t r uw zh ix n z
intuition  ih n t uw ih sh ix n
invade  ih n v ey d
invaluable  ih n v ae l y uh b el
invariably  ih n v ae r iy ax b l iy
invest  ih n v eh s t
investigation  ih n v eh s t ix g ey sh ix n
investigations  ih n v eh s t ix g ey sh ix n z
inviolate  ih n v ay el ix t
invitation  ih n v ix t ey sh ix n
invoked  ih n v ow k t
involved  ih n v aa l v d
involves  ih n v aa l v z
involving  ih n v aa l v ix ng
inward  ih n w axr d
inwardly  ih n w axr d l iy
irate  ay r ey t
iris  ay r ix s
irish  ay r ih sh
iron  ay axr n
iron-poor  ay axr n p uh r
ironic  ay r aa n ih k
ironically  ay r aa n ih k l iy
ironing  ay axr n ix ng
irons  ay axr n z
irradiation  ih r ey d iy ey sh ix n
irremediable  ih r ih m iy d iy ax b el
irresponsible  ih r ih s p aa n s ax b el
irritated  ih r ax t ey t ix d
irving's  er v ix ng z
is  ih z
isn't  ih z en t
isotopes  ay s ax t ow p s
issue  ih sh uw
issued  ih sh uw d
issues  ih sh uw z
it  ih t
it'd  ih t uh d
it's  ih t s
itching  ih ch ix ng
item  ay t em
itemize  ay t ax m ay z
items  ay t em z
its  ih t s
itself  ih t s eh l f
ivory  ay v r iy
jabbed  jh ae b d
jackass  jh ae k ae s
jacket  jh ae k ix t
jaded  jh ey d ix d
jagged  jh ae g ix d
jaguars  jh ae g w aa r z
jam  jh ae m
jane  jh ey n
january  jh ae n y uw eh r iy
jar  jh aa r
jars  jh aa r z
jealousies  jh eh l ax s iy z
jealousy  jh eh l ax s iy
jeep  jh iy p
jeff  jh eh f
jeff's  jh eh f s
jennifer's  jh eh n ix f axr z
jeopardize  jh eh p axr d ay z
jerk  jh er k
jerky  jh er k iy
jet  jh eh t
jewel  jh uw el
jewel-bright  jh uw el b r ay t
jim  jh ih m
jim's  jh ih m z
job  jh aa b
jocular  jh aa k y uh l axr
john  jh aa n
john's  jh aa n z
join  jh oy n
joining  jh oy n ix ng
joint  jh oy n t
jokers  jh ow k axr z
jokes  jh ow k s
joking  jh ow k ix ng
journal  jh er n el
journalese  jh er n ax l iy z
journalist  jh er n el ix s t
joyce  jh oy s
judge  jh ah jh
judged  jh ah jh d
juice  jh uw s
juicy  jh uw s iy
jump  jh ah m p
jumped  jh ah m p t
jungle  jh ah ng g el
jungle-like  jh ah ng g el l ay k
junior  jh uw n y axr
just  jh ah s t
justification  jh ah s t ix f ax k ey sh ix n
kayak  k ay ae k
kayo  k ey ow
keelson  k iy l s ah n
keep  k iy p
kept  k eh p t
kernels  k er n el z
kerosene  k eh r ix s iy n
key  k iy
keyed  k iy d
keys  k iy z
kick  k ih k
kid  k ih d
kid's  k ih d z
kidnappers  k ih d n ae p er z
kids  k ih d z
kill  k ih l
killed  k ih l d
kin  k ih n
kind  k ay n d
kinda  k ay n d ax
kindergarten  k ih n d axr g aa r t en
kindly  k ay n d l iy
kippers  k ih p axr z
kissed  k ih s t
kitchen  k ih ch ix n
knack  n ae k
knacks  n ae k s
knee  n iy
kneeling  n iy l ix ng
knees  n iy z
knew  n uw
knick  n ih k
knick-knacks  n ih k n ae k s
knife  n ay f
knifelike  n ay f l ay k
knit  n ih t
knitted  n ih t ix d
knives  n ay v z
knocked  n aa k t
know  n ow
knowed  n ow d
knowing  n ow ix ng
knowingly  n ow ix ng l iy
known  n ow n
knows  n ow z
labeled  l ey b el d
labor  l ey b axr
lacerate  l ae s axr ey t
lack  l ae k
lackeys  l ae k iy z
lactating  l ae k t ey t ix ng
lad  l ae d
ladder  l ae d axr
lady's  l ey d iy z
ladylike  l ey d iy l ay k
lagoon  l ax g uw n
laid  l ey d
lake  l ey k
lamb's  l ae m z
lamp  l ae m p
lamps  l ae m p s
land  l ae n d
land-based  l ae n d b ey s t
landmarks  l ae n d m aa r k s
language  l ae ng g w ih jh
large  l aa r jh
largely  l aa r jh l iy
larger  l aa r jh axr
larvae  l aa r v iy
lashed  l ae sh t
lashings  l ae sh ix ng z
last  l ae s t
latches  l ae ch ix z
late  l ey t
latent  l ey t en t
later  l ey t axr
latest  l ey t ix s t
lathe  l ey dh
latitudes  l ae t ix t uw d z
latter  l ae t axr
laugh  l ae f
laughed  l ae f t
laughing  l ae f ix ng
lavishly  l ae v ih sh l iy
lay  l ey
lay-up  l ey ah p
lazy  l ey z iy
lead  l iy d
leader  l iy d axr
leadership  l iy d axr sh ih p
leading  l iy d ix ng
leaf  l iy f
leaflet  l iy f l ix t
leagues  l iy g z
leap  l iy p
learn  l er n
learned  l er n d
least  l iy s t
leather  l eh dh axr
leave  l iy v
leaves  l iy v z
leaving  l iy v ix ng
leavings  l iy v ix ng z
led  l eh d
ledger  l eh jh axr
leeway  l iy w ey
left  l eh f t
leg  l eh g
legal  l iy g el
legend  l eh jh ix n d
legged  l eh g d
legislation  l eh jh ix s l ey sh ix n
legislative  l eh jh ix s l ey t ih v
legislature  l eh jh ih s l ey ch er
legs  l eh g z
leisure  l iy zh axr
lemon  l eh m ax n
length  l eh ng th
lengthy  l eh ng th iy
lentils  l eh n t el z
leopards  l eh p axr d z
less  l eh s
lesson  l eh s en
lessons  l eh s en z
lest  l eh s t
let  l eh t
let's  l eh t s
letter  l eh t axr
letters  l eh t axr z
level  l eh v el
level's  l eh v el z
leveling  l eh v el ix ng
levels  l eh v el z
lewd  l uw d
liberal  l ih b er el
liberal-led  l ih b er el l eh d
liberals  l ih b er el z
library  l ay b r eh r iy
lid  l ih d
lids  l ih d z
lie  l ay
life  l ay f
lifeboats  l ay f b ow t s
lift  l ih f t
lifting  l ih f t ix ng
ligament  l ih g ax m ax n t
light  l ay t
lightbulbs  l ay t b ah l b z
lighted  l ay t ix d
lighter  l ay t axr
lightly  l ay t l iy
lights  l ay t s
like  l ay k
liked  l ay k t
likely  l ay k l iy
likes  l ay k s
likewise  l ay k w ay z
lily  l ih l iy
limit  l ih m ix t
limited  l ih m ax t ix d
lincoln  l ih ng k ax n
line  l ay n
lined   l ay n d
lines  l ay n z
lion  l ay ix n
lip  l ih p
lips  l ih p s
liquid  l ih k w ix d
liquids  l ih k w ix d z
liquor  l ih k axr
list  l ih s t
listed  l ih s t ix d
lists  l ih s t s
literally  l ih t axr ax l iy
literary  l ih t axr eh r iy
literature  l ih t axr ax ch uh r
lithographs  l ih th ax g r ae f s
litter  l ih t axr
little  l ih t el
live  l ay v
live  l ih v
lived  l ih v d
lively  l ay v l iy
lives  l ih v z
livestock  l ay v s t aa k
living  l ih v ix ng
loaded  l ow d ix d
loads  l ow d z
lobes  l ow b z
local  l ow k el
locate  l ow k ey t
location  l ow k ey sh ix n
lock  l aa k
locked  l aa k t
lodge  l aa jh
logical  l aa jh ih k el
logically  l aa jh ih k l iy
lone  l ow n
loneliness  l ow n l iy n ix s
longitudes  l aa n jh ix t uw d z
look  l uh k
looked  l uh k t
looking  l uh k ix ng
looks  l uh k s
looms  l uw m z
loose  l uw s
lose  l uw z
lot  l aa t
lotions  l ow sh ix n z
lots  l aa t s
loudest  l aw d ix s t
loudly  l aw d l iy
louse  l aw s
lousiness  l aw z iy n ix s
love  l ah v
loved  l ah v d
lovely  l ah v l iy
lovie  l ah v iy
loving  l ah v ix ng
low  l ow
lower  l ow axr
lowered  l ow axr d
loyal  l oy el
loyalties  l oy el t iy z
luck  l ah k
lucky  l ah k iy
lullaby  l ah l ix b ay
lumber  l ah m b axr
lunch  l ah n ch
lunchroom  l ah n ch r uw m
lungs  l ah ng z
lush  l ah sh
luxurious  l ah g zh uh r iy ax s
luxury  l ah k sh axr iy
lying  l ay ix ng
ma'am  m ae m
macabre  m ax k aa b r ax
machine  m ax sh iy n
machinery  m ax sh iy n axr iy
machines  m ax sh iy n z
mad  m ae d
made  m ey d
madstones  m ae d s t ow n z
magnetic  m ae g n eh t ih k
magnetism  m ae g n ix t ih z em
magnificently  m ae g n ih f ix s ix n t l iy
magnified  m ae g n ih f ay d
magpies  m ae g p ay z
mahogany  m ax hh aa g ix n iy
maids'  m ey d z
mail  m ey l
main  m ey n
maintain  m ey n t ey n
maintenance  m ey n t ix n ix n s
major  m ey jh axr
make  m ey k
makes  m ey k s
making  m ey k ix ng
maladies  m ae l ax d iy z
malaria  m ax l ae r iy ax
male  m ey l
mammals  m ae m el z
man  m ae n
man's  m ae n z
manage  m ae n ih jh
managed  m ae n ih jh d
management  m ae n ih jh m ax n t
mandates  m ae n d ey t s
mango  m ae ng g ow
manhood  m ae n hh uh d
manifest  m ae n ax f eh s t
manner  m ae n axr
mannerism  m ae n axr ih z em
manners  m ae n axr z
manual  m ae n y uw el
manufacturer  m ae n y uw f ae k ch er axr
manufacturers  m ae n y uw f ae k ch er axr z
manure  m ax n uh axr
many  m eh n iy
many-bodied  m eh n iy b aa d iy d
map  m ae p
mare's  m ae r z
margaret  m aa r g r ax t
marine  m axr iy n
marine's  m axr iy n z
mark  m aa r k
marketing  m aa r k ix t ix ng
markets  m aa r k ix t s
marks  m aa r k s
marksmanship  m aa r k s m ax n sh ih p
marriage  m ae r ih jh
married  m ae r iy d
marshmallows  m aa r sh m eh l ow z
marvel  m aa r v el
marvelously  m aa r v el ax s l iy
mask  m ae s k
masks  m ae s k s
masonry  m ey s en r iy
masquerade  m ae s k axr ey d
mass  m ae s
massage  m ax s aa zh
massive  m ae s ih v
master  m ae s t axr
master's  m ae s t axr z
masterful  m ae s t axr f uh l
matched  m ae ch t
matching  m ae ch ix ng
mate  m ey t
material  m ax t ih r iy el
materials  m ax t ih r iy el z
mates  m ey t s
mathematics  m ae th ax m ae t ix k s
mathews  m ae th y uw z
matter  m ae t axr
matters  m ae t axr z
mattresses  m ae t r ix s ix z
maturity  m ax ch uh r ih t iy
maximal  m ae k s ax m el
maximize  m ae k s ix m ay z
maximum  m ae k s ix m ax m
may  m ey
mayan  m ay ax n
maybe  m ey b iy
mayonnaise  m ey ax n ey z
me  m iy
meadow  m eh d ow
meals  m iy l z
mealynosed  m iy l iy n ow z d
mean  m iy n
meaning  m iy n ix ng
meaningful  m iy n ix ng f uh l
meanness  m iy n ix s
means  m iy n z
meant  m eh n t
meanwhile  m iy n hh w ay l
measure  m eh zh axr
measured  m eh zh axr d
measurement  m eh zh axr m ax n t
meat  m iy t
meats  m iy t s
mechanic  m ih k ae n ih k
mechanical  m ih k ae n ih k el
mechanism  m eh k ax n ih z em
media  m iy d iy ax
median  m iy d iy ax n
medical  m eh d ix k el
medicine  m eh d ix s ih n
medieval  m iy d ix iy v el
mediocrity  m iy d iy aa k r ih t iy
meet  m iy t
meeting  m iy t ix ng
meetings  m iy t ix ng z
melancholy  m eh l ix n k aa l iy
melodramatic  m eh l ow d r ax m ae t ih k
melody  m eh l ax d iy
melted  m eh l t ix d
member  m eh m b axr
members  m eh m b axr z
membership  m eh m b axr sh ih p
memo  m eh m ow
memorized  m eh m axr ay z d
memory  m eh m axr iy
men  m eh n
mental  m eh n t el
mentality  m eh n t ae l ix t iy
mention  m eh n sh ix n
meow  m iy aw
mercenary  m er s en eh r iy
merchandising  m er ch ix n d ay z ix ng
mercilessly  m er s el eh s l iy
mere  m ih r
merely  m ih r l iy
merger  m er jh axr
mergers  m er jh axr z
merit  m eh r ix t
merrily  m eh r ix l iy
mess  m eh s
message  m eh s ih jh
messy  m eh s iy
met  m eh t
metal  m eh t el
metallic  m ax t ae l ih k
method  m eh th ax d
methods  m eh th ax d z
mettle  m eh t el
miami  m ay ae m iy
michael  m ay k el
micrometeorite  m ay k r ow m iy t iy axr ay t
micrometeorites  m ay k r ow m iy t iy axr ay t s
microscopically  m ay k r ix s k aa p ih k l iy
midair  m ih d ae r
midnight  m ih d n ay t
might  m ay t
mighty  m ay t iy
mike  m ay k
mile  m ay l
miles  m ay l z
military  m ih l ix t eh r iy
milk  m ih l k
millionaires  m ih l y ax n ae r z
mind  m ay n d
minded  m ay n d ix d
minds  m ay n d z
mine  m ay n
mining  m ay n ix ng
minister  m ih n ix s t axr
minor  m ay n axr
minute  m ih n ix t
minutes  m ih n ix t s
miraculous  m axr ae k y uh l ax s
miraculously  m axr ae k y uh l ax s l iy
mirage  m axr aa zh
mirror  m ih r axr
mirrors  m ih r axr z
misbehavior  m ih s b ih hh ey v y axr
miserable  m ih z axr ax b el
misery  m ih z axr iy
mishap  m ih s hh ae p
misinterpret  m ih s en t er p r ax t
misleading  m ih s l iy d ix ng
misperceives  m ih s p er s iy v z
misplaced  m ih s p l ey s t
misprint  m ih s p r ih n t
misquote  m ih s k w ow t
miss  m ih s
mistaken  m ih s t ey k ix n
mixed  m ih k s t
mixing  m ih k s ix ng
mobile  m ow b el
mock  m aa k
moded  m ow d ix d
modeled  m aa d el d
modeling  m aa d el ix ng
models  m aa d el z
modern  m aa d axr n
modernization  m aa d axr n ix z ey sh ix n
modernizing  m aa d axr n ay z ix ng
modest  m aa d ix s t
modesty  m aa d ix s t iy
modified  m aa d ix f ay d
modular  m aa jh uh l axr
moist  m oy s t
moistened  m oy s en d
moisture  m oy s ch axr
mold  m ow l d
molded  m ow l d ix d
mollusks  m aa l ah s k s
mom  m aa m
moment  m ow m ax n t
momentary  m ow m ax n t eh r iy
moments  m ow m ax n t s
momma  m aa m ax
monday  m ah n d ey
money  m ah n iy
monitored  m aa n ix t axr d
monkey  m ah ng k iy
monkey-gland  m ah ng k iy g l ae n d
monopolize  m ax n aa p ax l ay z
monstrous  m aa n s t r ax s
month  m ah n th
months  m ah n th s
moon  m uw n
moonlight  m uw n l ay t
mopped  m aa p t
morale  m axr ae l
morrow  m aa r ow
mosquitoes  m ax s k iy t ow z
most  m ow s t
mostly  m ow s t l iy
motel  m ow t eh l
mother  m ah dh axr
mother's  m ah dh axr z
mothers  m ah dh axr z
motioning  m ow sh ix n ix ng
motivates  m ow t ix v ey t s
motor  m ow t axr
motorists  m ow t axr ix s t s
motorists'  m ow t axr ix s t s
mount  m aw n t
mountain  m aw n t en
mountainside  m aw n t en s ay d
mounting  m aw n t ix ng
mouse  m aw s
mouth  m aw th
mouthful  m aw th f uh l
move  m uw v
moved  m uw v d
movement  m uw v m ax n t
moves  m uw v z
movie  m uw v iy
movies  m uw v iy z
moving  m uw v ix ng
mr  m ih s t axr
mrs  m ih s ix z
much  m ah ch
mucus  m y uw k ix s
muddleheaded  m ah d el hh eh d ix d
muddy  m ah d iy
mudwagon  m ah d w ae g ax n
muffled  m ah f el d
mugs  m ah g z
multiple  m ah l t ax p el
murals  m y uh r el z
murder  m er d axr
murderer  m er d er axr
murky  m er k iy
murmured  m er m axr d
muscle  m ah s el
muscles  m ah s el z
muscular  m ah s k y uh l axr
museum  m y uw z iy ax m
museums  m y uw z iy ax m z
music  m y uw z ih k
musical  m uw z ih k el
musicians  m y uw z ih sh ix n z
